INFO, 2024-01-02 07:56:10, 2023-12-31 14:17:30.384323, CURIOT-A002, 2.459, 2.305, 2.248
INFO, 2024-01-02 07:56:10, 2023-12-31 14:17:31.386832, CURIOT-A002, 2.456, 2.303, 2.257
INFO, 2024-01-02 07:56:10, 2023-12-31 14:17:32.406510, CURIOT-A002, 2.456, 2.304, 2.248
INFO, 2024-01-02 07:56:10, 2023-12-31 14:17:33.401759, CURIOT-A002, 2.462, 2.296, 2.249
INFO, 2024-01-02 07:56:10, 2023-12-31 14:17:34.457187, CURIOT-A002, 2.453, 2.289, 2.247
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.548058, VIBIOT-A002, 0.74605441, 9.99521637, 1.41559041, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.595998, VIBIOT-A002, 0.78909594, 9.93782711, 1.33428955, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.596728, VIBIOT-A002, 0.66953599, 10.0573864, 1.30081272, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.599273, VIBIOT-A002, 0.73648959, 9.98086834, 1.3868959, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.601016, VIBIOT-A002, 0.68866557, 9.98086834, 1.31516004, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.602968, VIBIOT-A002, 0.83213764, 9.92826271, 1.29124796, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.603422, VIBIOT-A002, 0.84648478, 10.08129978, 1.25777125, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.606317, VIBIOT-A002, 0.79387844, 9.8995676, 1.17168808, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.626843, VIBIOT-A002, 0.7747488, 10.00478077, 1.29124796, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.627315, VIBIOT-A002, 0.83692002, 9.92826271, 1.3103776, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.636814, VIBIOT-A002, 0.79387844, 9.8900032, 1.32950723, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.641571, CURIOT-A002, 2.456, 2.308, 2.248
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.648878, VIBIOT-A002, 0.82735515, 9.80870247, 1.33907199, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.668127, VIBIOT-A002, 0.87039679, 10.02391052, 1.25298882, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.674854, VIBIOT-A002, 0.75561923, 9.99999905, 1.43950248, 800
INFO, 2024-01-02 07:56:10, 2024-01-02 07:56:09.678101, VIBIOT-A002, 0.73648959, 10.12434006, 1.32950723, 800
